DEPARTMENT,UACS_DPT_DSC,AGENCY,UACS_AGY_DSC,PREXC_PROG,PREXC_SUBPROG,PAP,Budget Document,PS,MOOE,CO,TOTAL,source_sheet
07,Department of Education (DepEd),001,Office of the Secretary,1000,100000100001,General Administration and Support,NEP 2026,13000860000.0,8832490000.0,0.0,21833350000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,1000,100000100002,Administration of Personnel Benefits,NEP 2026,5527234000.0,0.0,0.0,5527234000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100001,Physical Fitness and School Sports,NEP 2026,8341000.0,473250000.0,0.0,481591000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100002,Development and Management of Bilateral and Multilateral Education Projects,NEP 2026,21765000.0,11491000.0,0.0,33256000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100003,Management and Administration of Learning Resources,NEP 2026,51772000.0,12197000.0,0.0,63969000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100004,Planning and Management Information Systems,NEP 2026,122422000.0,32671000.0,0.0,155093000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100005,Education Information and Communication Services,NEP 2026,23321000.0,27561000.0,9732000.0,60614000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100006,Learner Support Programs,NEP 2026,2637581000.0,337139000.0,0.0,2974720000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100007,Building Partnerships and Linkages Program,NEP 2026,11532000.0,89876000.0,0.0,101408000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100008,Legal Services and Development of Education-Related Laws and Rules,NEP 2026,24715000.0,32885000.0,0.0,57600000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100009,Child Protection Program,NEP 2026,0.0,44998000.0,0.0,44998000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100010,Disaster Preparedness and Response Program,NEP 2026,12831000.0,652491000.0,0.0,665322000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100011,Organizational and Professional Development for Non-Teaching Personnel,NEP 2026,188400000.0,107950000.0,0.0,296350000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100012,Operational Expenses of the DepEd Task Force on the 2022 National and Local Elections,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100013,Operational Expenses of the DepEd - Election Task Force,NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100001,National Assessment Systems for Basic Education,NEP 2026,37273000.0,491611000.0,0.0,528884000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100002,Policy and Research Program,NEP 2026,2262877000.0,30389000.0,0.0,2293266000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100003,Basic Education Curriculum,NEP 2026,161377000.0,3400231000.0,0.0,3561608000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100004,"Curriculum Programs, Learning Management Models, Standards and Strategy Development",NEP 2026,7179817000.0,1641000.0,0.0,7181458000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100005,Development and Promotion of Campus Journalism,NEP 2026,0.0,66420000.0,0.0,66420000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100006,National Literacy Policies and Programs,NEP 2026,3675000.0,15082000.0,0.0,18757000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100007,Early Language Literacy and Numeracy,NEP 2026,0.0,106231000.0,0.0,106231000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100001,Improvement and Acquisition of School Sites,NEP 2026,0.0,32460000.0,65000000.0,97460000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100002,New School Personnel Positions,NEP 2026,41802170000.0,496244000.0,0.0,42298414000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100003,Learning Tools and Equipment,NEP 2026,0.0,2888717000.0,0.0,2888717000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100004,Textbooks and Other Instructional Materials,NEP 2026,0.0,11157962000.0,0.0,11157962000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100005,Computerization Program,NEP 2026,20108000.0,16428816000.0,0.0,16448924000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100006,Basic Education Facilities,NEP 2026,0.0,2615216000.0,25440800000.0,28056016000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100007,Conservation and Restoration of Gabaldon and Other Heritage School Buildings,NEP 2026,0.0,0.0,1133965000.0,1133965000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100010,Quick Response Fund,NEP 2026,0.0,0.0,3000000000.0,3000000000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100011,Last Mile Schools Program,NEP 2026,0.0,0.0,3000000000.0,3000000000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100012,Public Schools Infrastructure Program (PSIP),NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200200001,Connectivity Enhancement Program for e-Learning in Public Schools,NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200300001,Infrastructure for Safer and Resilient Schools (ISRS) Project WB Loan No. 9704-PH,NEP 2026,0.0,253732000.0,9136198000.0,9389930000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3103,310300100001,Multigrade Education,NEP 2026,0.0,142854000.0,0.0,142854000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3103,310300100002,Indigenous Peoples Education (IPEd) Program,NEP 2026,0.0,74821000.0,0.0,74821000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3103,310300100003,Flexible Learning Options (ADM/ALS/EiE),NEP 2026,0.0,4360075000.0,0.0,4360075000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3103,310300100004,Madrasah Education Program,NEP 2026,0.0,495365000.0,0.0,495365000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3103,310300100005,Special Needs Education Program,NEP 2026,0.0,849980000.0,0.0,849980000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100001,School-Based Feeding Program (SBFP),NEP 2026,0.0,11776932000.0,0.0,11776932000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100002,Operation of Schools - Elementary (Kinder to Grade 6),NEP 2026,321938395000.0,36194394000.0,0.0,358132789000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100003,Operation of Schools - Junior High School (Grade 7 to Grade 10),NEP 2026,181031652000.0,16703015000.0,0.0,197734667000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100004,Operation of Schools - Senior High School (Grade 11 to Grade 12),NEP 2026,61622109000.0,7996641000.0,0.0,69618750000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100005,Government Assistance and Subsidies - Educational Service Contracting (ESC) Program for Private Junior High School (per RA No. 8545),NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100006,Government Assistance and Subsidies - Voucher Program for Private Senior High School (per RA No. 10533),NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100007,Government Assistance and Subsidies - Voucher Program for Non-DepEd Public High School (per RA No. 10533),NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100008,Joint Delivery Voucher for Senior High School Technical Vocational and Livelihood Specializations,NEP 2026,0.0,2225850000.0,0.0,2225850000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100009,Operational Requirements of Sports Academy and Training Centers,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100010,"Implementation of the Grant of Cash Allowance, Hardship Pay, and Reclassification of Positions",NEP 2026,10963658000.0,9772180000.0,0.0,20735838000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100011,School Dental Health Care Program,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100013,World Teachers' Day Incentive Benefits,NEP 2026,983530000.0,0.0,0.0,983530000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100014,Establishment and Operational Requirement of the National Academy of Sports,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100015,Government Assistance and Subsidies - Educational Service Contracting (ESC) Program for Private Junior High School (per R.A. No. 8545),NEP 2026,0.0,12362468000.0,0.0,12362468000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100016,Government Assistance and Subsidies - Senior High School Voucher Program,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100017,Subsidies - Senior High School Voucher Program,NEP 2026,0.0,26487724000.0,0.0,26487724000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100018,"Government Assistance and Subsidies - Training and Upgrading Knowledge for Learners, Teachers, and Achievers in Schools (GAS-TUKLAS)",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3104,310400100019,School Innovation and Improvement Fund (SIIF) to all DepEd Public Schools,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3105,310500100001,Human Resource Development for Personnel in Schools and Learning Centers,NEP 2026,44013000.0,2872441000.0,0.0,2916454000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3105,310500100002,Teacher Quality and Development Program,NEP 2026,2376000.0,4804000.0,0.0,7180000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,3105,310500300001,Teacher Effectiveness and Competencies Enhancement Project (TEACEP) WB Loan No. 9481-PH,NEP 2026,0.0,458349000.0,0.0,458349000.0,2026 DepEd - NEP
07,Department of Education (DepEd),002,National Book Development Board,1000,100000100001,General Management and Supervision,NEP 2026,22253000.0,18055000.0,0.0,40308000.0,2026 DepEd - NEP
07,Department of Education (DepEd),002,National Book Development Board,1000,100000100002,Administration of Personnel Benefits,NEP 2026,124000.0,0.0,0.0,124000.0,2026 DepEd - NEP
07,Department of Education (DepEd),002,National Book Development Board,3101,310100100001,Capacity Building and Trade Promotion Incentives,NEP 2026,15149000.0,76472000.0,0.0,91621000.0,2026 DepEd - NEP
07,Department of Education (DepEd),002,National Book Development Board,3101,310100100002,"Administration of Awards, Grants, and Incentives",NEP 2026,6324000.0,6157000.0,0.0,12481000.0,2026 DepEd - NEP
07,Department of Education (DepEd),002,National Book Development Board,3101,310100100003,"Policy Development, Research, Information System Management, and Information Campaign",NEP 2026,6271000.0,1252000.0,0.0,7523000.0,2026 DepEd - NEP
07,Department of Education (DepEd),003,National Council for Children's Television,1000,100000100001,General Management and Supervision,NEP 2026,13635000.0,8284000.0,0.0,21919000.0,2026 DepEd - NEP
07,Department of Education (DepEd),003,National Council for Children's Television,3101,310100100001,Child-Friendly Television Development Services,NEP 2026,11044000.0,38301000.0,0.0,49345000.0,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,1000,100000100001,General Management and Supervision,NEP 2026,71401000.0,351811000.0,0.0,423212000.0,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,1000,100000100002,Administration of Personnel Benefits,NEP 2026,1729000.0,0.0,0.0,1729000.0,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,2000,200000100001,Project Monitoring and Evaluation Services,NEP 2026,3129000.0,770000.0,0.0,3899000.0,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100100001,Management and Development of the National Collections and Related Knowledge Resources (Including Participation to International Meetings and Conferences),NEP 2026,218389000.0,80811000.0,0.0,299200000.0,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100100002,"Restoration, Preservation, Protection and Development of Cultural Property",NEP 2026,26592000.0,57332000.0,0.0,83924000.0,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200015,"Restoration of Malacanang sa Sugbo, Cebu City and Converrsion to National Museum Cebu",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200016,Development of the National Museum Complex in Manila - Phase 1 (to implement Republic Act No. 11333),NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200017,"Nightly repair of the Church of Our Lady of Caysasay and associated structures, a declared national cultural treasure in Taal, Batangas",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200018,Continuation of Construction of National Museum Building in Davao City,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200019,Development of the National Museum Complex in Rizal Park - Manila Phase II,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200020,Development of Information Management Systems,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200021,"Restoration and Continued Repair of Our Lady of Caysasay Church and Associated Structures (National Cultural Treasure) in Taal, Batangas",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200022,"Restoration of the Old Municipal Hall and the Municipal Plaza (Important Cultural Properties) in Balilihan, Bohol",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200023,"Development of National Museum Complex, Manila, Phase 3",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200024,"Continued Restoration and Site Development of Our Lady of Caysasay Church and Associated Structures in Taal, Batangas, Phase 3",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200025,"Rehabilitation of Former United States Air Force (USAF) Hospital in Clark Freeport, Pampanga and Conversion to National Museum of the Philippines Central Luzon, Phase 1",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200026,"Construction of National Museum of the Philippines-Baler in Baler, Aurora",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200027,Exhibitions and Fit-Out of Various National Museum of the Philippines - Central and Regional Sites,NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200028,"Rehabilitation of National Museum of the Philippines-Kabayan Burial Cave Site Museum and Satellite Office in Kabayan, Benguet",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200029,"Improvement of Rocha House in Sitio Ubos in Tagbilaran City, Bohol (Declared Important Cultural Property)",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200030,"Development of National Museum Complex, Manila, Phase IV",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200031,"Construction of National Museum of the Philippines-Baler in Baler, Aurora (Phase II)",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200032,"Continued Restoration and Site Development of Our Lady of Caysasay Church and Associated Structures in Taal, Batangas, Phase IV",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200033,"Repair and Preventive Conservation Maintenance of Casa Rocha (Important Cultural Property) in Tagbilaran City, Bohol",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200034,Restoration and Development of NMP Museums and Declared/Associated Heritage Sites in the Visayas,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200035,"Rehabilitation of Former United States Air Force (USAF) Hospital in Clark Freeport, Pampanga, and Conversion to National Museum of the Philippines Central Luzon, Phase II",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200036,"Completion of Restoration of Our Lady of Caysasay Church and Associated Structures in Taal, Batangas City",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200037,"Rehabilitation of National Museum of the Philippines Kabayan Burial Caves Site Museum and Satellite Office in Kabayan, Benguet, Phase II",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200038,Completion of the Development of the National Museum Complex in Manila,NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200039,"Continuation of the Development of NMP-General Aniceto Lacson Ancestral House in Talisay City, Negros Occidental",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200040,Rehabilitation of the Sewerage System of the National Museum of Fine Arts (Old Legislative Building),NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200041,"Development of NMP-Kalibo, Aklan (Phase 1)",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200042,"Development of NMP-Koronadal and Lake Sebu, South Cotabato (Phase 1)",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200043,"Repair and Restoration of Boljoon Church Complex, Boljoon, Cebu and Development of NMP-Boljoon, Cebu (Phase 1)",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200044,"Development of NMP-Paoay, Paoay, Ilocos Norte",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200045,"Development of NMP General Ancieto Lacson Ancestral House, Talisay City, Negros Occidental (Phase 2)",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200046,"Development of NMP Kalibo, Aklan (Phase 2)",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200047,"Development of NMP Koronadal and Lake Sebu, South Cotabato (Phase 2)",NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),004,National Museum of the Philippines,3101,310100200048,Exhibitions and Fit-out of Various National Museum of the Philippines - Central and Regional Sites - Northern Luzon National Museums,NEP 2026,0.0,0.0,0.0,,2026 DepEd - NEP
07,Department of Education (DepEd),005,Philippine High School for the Arts,1000,100000100001,General Management and Supervision,NEP 2026,21402000.0,38184000.0,35716000.0,95302000.0,2026 DepEd - NEP
07,Department of Education (DepEd),005,Philippine High School for the Arts,1000,100000100002,Administration of Personnel Benefits,NEP 2026,8024000.0,0.0,0.0,8024000.0,2026 DepEd - NEP
07,Department of Education (DepEd),005,Philippine High School for the Arts,3101,310100100001,"Operation of Philippine High School for the Arts Including Outreach, Screening, Student Exchange Program with Other Countries and Production Activities",NEP 2026,16929000.0,36976000.0,0.0,53905000.0,2026 DepEd - NEP
07,Department of Education (DepEd),006,Early Childhood Care and Development Council,1000,100000100001,General Management and Supervision,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),006,Early Childhood Care and Development Council,1000,100000100002,Administration of Personnel Benefits,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),006,Early Childhood Care and Development Council,3101,310100100001,"Development of Policies, Standards and Guidelines",NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),006,Early Childhood Care and Development Council,3101,310100100002,Capacity-Building and Institutional Development of Intermediaries and Other Partners,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),006,Early Childhood Care and Development Council,3101,310100100003,Accreditation of ECCD Service Providers,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),006,Early Childhood Care and Development Council,3101,310100100004,Establishment of National Child Development Centers,NEP 2026,,,,,2026 DepEd - NEP
07,Department of Education (DepEd),007,National Academy of Sports,1000,100000100001,General Management and Supervision,NEP 2026,41464000.0,74045000.0,0.0,115509000.0,2026 DepEd - NEP
07,Department of Education (DepEd),007,National Academy of Sports,1000,100000100002,Administration of Personnel Benefits,NEP 2026,2053000.0,0.0,0.0,2053000.0,2026 DepEd - NEP
07,Department of Education (DepEd),007,National Academy of Sports,3101,310100100001,"Promotion, Development, and Implementation of Quality and Enhanced Sports-Integrated Secondary Education Program",NEP 2026,10081000.0,118734000.0,0.0,128815000.0,2026 DepEd - NEP
07,Department of Education (DepEd),008,Teacher Education Council,1000,100000100001,General Management and Supervision,NEP 2026,501000.0,43006000.0,880000.0,44387000.0,2026 DepEd - NEP
07,Department of Education (DepEd),008,Teacher Education Council,3101,310100100001,Quality Teacher Education Services,NEP 2026,3981000.0,158703000.0,0.0,162684000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,1000,100000100001,General Administration and Support,GAA 2026,13000860000.0,6691789000.0,1071000000.0,20763649000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,1000,100000100002,Administration of Personnel Benefits,GAA 2026,7686385000.0,755000000.0,0.0,8441385000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100001,Physical Fitness and School Sports,GAA 2026,8341000.0,730838000.0,0.0,739179000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100002,Development and Management of Bilateral and Multilateral Education Projects,GAA 2026,21765000.0,11491000.0,0.0,33256000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100003,Management and Administration of Learning Resources,GAA 2026,51772000.0,12197000.0,0.0,63969000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100004,Planning and Management Information Systems,GAA 2026,122422000.0,32671000.0,0.0,155093000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100005,Education Information and Communication Services,GAA 2026,23321000.0,27561000.0,9732000.0,60614000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100006,Learner Support Programs,GAA 2026,2637581000.0,1301425000.0,1175300000.0,5114306000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100007,Building Partnerships and Linkages Program,GAA 2026,11532000.0,89876000.0,0.0,101408000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100008,Legal Services and Development of Education-Related Laws and Rules,GAA 2026,24715000.0,32885000.0,0.0,57600000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100009,Child Protection Program,GAA 2026,0.0,89928000.0,0.0,89928000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100010,Disaster Preparedness and Response Program,GAA 2026,12831000.0,1242883000.0,2516292000.0,3772006000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100011,Organizational and Professional Development for Non-Teaching Personnel,GAA 2026,188400000.0,107950000.0,0.0,296350000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100012,Operational Expenses of the DepEd Task Force on the 2022 National and Local Elections,GAA 2026,,,,,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100013,Operational Expenses of the DepEd - Election Task Force,GAA 2026,,,,,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100001,National Assessment Systems for Basic Education,GAA 2026,37273000.0,491611000.0,0.0,528884000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100002,Policy and Research Program,GAA 2026,2262877000.0,80389000.0,0.0,2343266000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100003,Basic Education Curriculum,GAA 2026,161377000.0,5513232000.0,0.0,5674609000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100004,"Curriculum Programs, Learning Management Models, Standards and Strategy Development",GAA 2026,7179817000.0,1641000.0,0.0,7181458000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100005,Development and Promotion of Campus Journalism,GAA 2026,0.0,66420000.0,0.0,66420000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100006,National Literacy Policies and Programs,GAA 2026,3675000.0,101899000.0,0.0,105574000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3101,310100100007,Early Language Literacy and Numeracy,GAA 2026,0.0,106231000.0,0.0,106231000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100001,Improvement and Acquisition of School Sites,GAA 2026,0.0,32460000.0,65000000.0,97460000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100002,New School Personnel Positions,GAA 2026,41802170000.0,496244000.0,0.0,42298414000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100003,Learning Tools and Equipment,GAA 2026,0.0,2888717000.0,0.0,2888717000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100004,Textbooks and Other Instructional Materials,GAA 2026,0.0,19506158000.0,0.0,19506158000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100005,Computerization Program,GAA 2026,20108000.0,10660167000.0,0.0,10680275000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100006,Basic Education Facilities,GAA 2026,0.0,5190476000.0,80206105000.0,85396581000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100007,Conservation and Restoration of Gabaldon and Other Heritage School Buildings,GAA 2026,0.0,0.0,1133965000.0,1133965000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100010,Quick Response Fund,GAA 2026,0.0,0.0,3000000000.0,3000000000.0,2026 DepEd - GAA
07,Department of Education (DepEd),001,Office of the Secretary,3102,310200100011,Last Mile Schools Program,GAA 2026,0.0,0.0,0.0,,2026 DepEd - GAA
